pageid,title,protection_status,number_of_views,number_of_edits
100062,Super Mario 64,autoconfirmed;autoconfirmed,,
1001251,Robert Spencer (author),autoconfirmed;autoconfirmed,,
100127,Florence Nightingale,autoconfirmed;autoconfirmed,,
10012799,Barstow Harvey House,autoconfirmed;autoconfirmed,,
1001666,List of Dragon Ball characters,autoconfirmed;autoconfirmed,,
1001707,Jaffa Cakes,autoconfirmed;autoconfirmed,,
100196,Tim Westwood,autoconfirmed;autoconfirmed,,
10024,MDMA,autoconfirmed;autoconfirmed,,
10039332,Consol Energy Center,autoconfirmed;autoconfirmed,,
1004706,Dysarthria,autoconfirmed;autoconfirmed,,
100627,Emo,autoconfirmed;sysop,,
10079827,Max Blumenthal,autoconfirmed,,
1008436,Eustace Mullins,autoconfirmed;autoconfirmed,,
10086685,Chris Malkin,autoconfirmed;autoconfirmed,,
10089424,Kearnan Myall,autoconfirmed;autoconfirmed,,
1009259,Macy's Thanksgiving Day Parade,autoconfirmed,,
10099763,Green Hills Engineering College,autoconfirmed,,
10101151,IQ and Global Inequality,autoconfirmed,,
10106,Earthquake,autoconfirmed;autoconfirmed,,
10111390,Guild Wars 2,autoconfirmed;autoconfirmed,,
10128,Elizabeth I of England,autoconfirmed;sysop,,
1014,Alcohol,autoconfirmed;sysop,,
10157131,Diego Costa,autoconfirmed;autoconfirmed,,
10160866,List of Canadian inventions,autoconfirmed;autoconfirmed,,
101679,VRML,autoconfirmed;autoconfirmed,,
10172009,Kulraj Randhawa,autoconfirmed;autoconfirmed,,
1017610,Dido (disambiguation),autoconfirmed;autoconfirmed,,
1018018,Burzynski Clinic,autoconfirmed;autoconfirmed,,
101942,Child labour,autoconfirmed,,
101970,Tinnitus,autoconfirmed;autoconfirmed,,
10200539,Premier Basketball League,autoconfirmed,,
1021390,Sebastián Vizcaíno,autoconfirmed;autoconfirmed,,
102210,Arthur (TV series),autoconfirmed;autoconfirmed,,
1022192,Nokia 3310,autoconfirmed,,
1024181,Carlos Tevez,autoconfirmed;sysop,,
102490,Dell,autoconfirmed;sysop,,
10255667,The Biggest Loser Australia (season 1),autoconfirmed;autoconfirmed,,
10256222,The Biggest Loser Australia (season 2),autoconfirmed;autoconfirmed,,
102567,John Forbes Nash; Jr.,autoconfirmed;autoconfirmed,,
102690,Adam Sandler,autoconfirmed;autoconfirmed,,
1027216,Confraternity of Christian Doctrine,autoconfirmed;autoconfirmed,,
