page_id,page_title,view_count,protection_status,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,page_id_scrapped,redirects,recent_number_of_edits,number_distinct_authors,number_categories
25869317,Mercosur,1770104,unprotected,90427,1785,194,20,13584,25869317,18,1,1,42
67728,Petrochemical,1486571,unprotected,23015,554,135,14,14823,67728,5,1,1,7
1914,Antimicrobial resistance,1461174,unprotected,132431,3367,264,26,8607,1914,29,7,6,10
855728,Red McCombs,485956,unprotected,14842,375,32,2,4808,855728,2,0,0,12
5508002,New World crops,442438,unprotected,12901,343,46,4,9433,5508002,5,3,2,2
15559781,No Mercy (2005),345254,unprotected,27004,453,Fewer than 30 watchers,,3824,15559781,1,0,0,4
1052338,1 Esdras,293221,unprotected,15067,416,56,12,3437,1052338,19,0,0,9
29642103,Kaalo,283120,unprotected,5793,128,Fewer than 30 watchers,,4042,29642103,0,1,1,5
222564,ISO 3166-2:CA,271376,unprotected,4332,123,Fewer than 30 watchers,,1711,222564,14,0,0,
18342008,"Carlos, Duke of Parma",241878,unprotected,59,1,Fewer than 30 watchers,,2472,52782565,0,0,0,
625894,François Bayrou,220088,unprotected,34012,538,36,3,1359,625894,4,1,1,18
2107573,Eric Christmas,205576,unprotected,7630,225,Fewer than 30 watchers,,3148,2107573,2,1,1,14
150829,"Thomasville, North Carolina",186064,unprotected,23294,522,Fewer than 30 watchers,,2058,150829,5,0,0,17
40803169,DJ Playero,160425,unprotected,11108,299,Fewer than 30 watchers,,1087,40803169,4,0,0,10
5253337,Beyond Rangoon,159701,unprotected,9233,241,Fewer than 30 watchers,,1602,5253337,0,2,1,7
2626808,Masha Bruskina,141900,unprotected,9185,188,Fewer than 30 watchers,,4250,2626808,0,2,2,14
45223499,Julie Foucher,126553,unprotected,12539,49,Fewer than 30 watchers,,609,45223499,0,0,0,
2642626,VDL Nedcar,123765,unprotected,19676,238,Fewer than 30 watchers,,1633,2642626,5,2,2,12
