pageid,title,protection_status,view_count,,,,,,,Measures of Central Tendencies ,Protected Articles,Unprotected Articles
15580374,Main Page,"sysop,sysop",38902600027,,,,,,,Mean,10869794.24,72947.88303
4848272,Donald Trump,"autoconfirmed,sysop",510613501,,,,,,,Median,1628246,11761
9087364,Islamic State of Iraq and the Levant,"autoconfirmed,sysop",302916679,,,,,,,Mode,38902600027,15121806
12153654,Elizabeth II,"autoconfirmed,sysop",118210630,,,,,,,Standard Deviation ,473022072.7,378977.6676
5043734,Wikipedia,"autoconfirmed,sysop",111325280,,,,,,,,,
53862,Darth Vader,"autoconfirmed,sysop",106997027,,,,,,,,,
3434750,United States,"autoconfirmed,sysop",104888899,,,,,,,Variance,223749881306946000,143624072550
13590,House,"autoconfirmed,sysop",99793350,,,,,,,,,
3390,Bible,"autoconfirmed,sysop",94089028,,,,,,,,,
909036,Elon Musk,"autoconfirmed,sysop",92086560,,,,,,,,,
534366,Barack Obama,"autoconfirmed,sysop",83747223,,,,,,,,,
1092923,Google,"autoconfirmed,sysop",77682904,,,,,,,,,
3524766,YouTube,"autoconfirmed,sysop",77016793,,,,,,,,,
42068,Freddie Mercury,"autoconfirmed,sysop",76291057,,,,,,,,,
623737,Cristiano Ronaldo,"autoconfirmed,sysop",75650997,,,,,,,,,
1384520,XXXX,"autoconfirmed,autoconfirmed",75292665,,,,,,,,,
14533,India,"autoconfirmed,sysop",72957075,,,,,,,,,
7529378,Facebook,"autoconfirmed,sysop",71989678,,,,,,,,,
20715044,Game of Thrones,"autoconfirmed,sysop",69523521,,,,,,,,,
59892,List of highest-grossing films,"autoconfirmed,autoconfirmed",67497797,,,,,,,,,
145422,Joe Biden,"autoconfirmed,sysop",65254841,,,,,,,,,
156126,Dwayne Johnson,"autoconfirmed,autoconfirmed",65019441,,,,,,,,,
9228,Earth,"autoconfirmed,sysop",64002400,,,,,,,,,
31717,United Kingdom,"autoconfirmed,sysop",61959290,,,,,,,,,
2150841,Lionel Messi,"autoconfirmed,sysop",61595694,,,,,,,,,
32927,World War II,"autoconfirmed,sysop",59919407,,,,,,,,,
47923,Queen Victoria,"autoconfirmed,sysop",59270985,,,,,,,,,
20455,Michael Jordan,"autoconfirmed,sysop",58859256,,,,,,,,,
19376148,Stephen Hawking,"autoconfirmed,sysop",58243464,,,,,,,,,
246185,Kobe Bryant,"autoconfirmed,sysop",57710766,,,,,,,,,
26678,Star Wars,"autoconfirmed,sysop",57243554,,,,,,,,,
40136993,Louis Tomlinson,"autoconfirmed,autoconfirmed",56760437,,,,,,,,,
25276055,Ariana Grande,"autoconfirmed,sysop",56316780,,,,,,,,,
2731583,Adolf Hitler,"autoconfirmed,sysop",56231743,,,,,,,,,
125248,"Charles, Prince of Wales","autoconfirmed,sysop",54837219,,,,,,,,,
1209075,Melania Trump,"autoconfirmed,sysop",54783312,,,,,,,,,
240940,LeBron James,"autoconfirmed,sysop",54325689,,,,,,,,,
34210,XXX,"autoconfirmed,autoconfirmed",53880283,,,,,,,,,
16603,Keanu Reeves,"autoconfirmed,sysop",53747089,,,,,,,,,
