pageid,title,protection,view_count,current_protection_status,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Measures of Central Tendencies ,Value,Current_Protection_Status
160985,Emma Thompson, ,15121806,,,,,,,Mean,72947.88303,
30304,The X-Files, ,12563039,,,,,,,Median,11761.0,
411085,James Caan, ,8457558,,,,,,,Mode,15121806.0,
93092,"Beverly Hills, 90210", ,6143287,,,,,,,Variance,143624000000.0,
1929244,Muscat and Oman, ,5801533,,,,,,,Standard Deviation ,378977.6676,
48893231,The Emoji Movie, ,5091278,,,,,,,,,autoconfirmed
1352420,The D.O.C., ,5058278,,,,,,,,,
8540,Diesel engine, ,4980948,,,,,,,,,
340663,Paul Reiser, ,4433720,,,,,,,,,
75908,Charles IX of France, ,3965052,,,,,,,,,
172396,Lichen, ,3729033,,,,,,,,,
667049,Meg Tilly, ,3648535,,,,,,,,,
61629,1966 FIFA World Cup, ,3617885,,,,,,,,,
577779,Chris Kattan, ,3408168,,,,,,,,,
39376307,The Other Woman (2014 film), ,3276961,,,,,,,,,
28013561,Andy Spade, ,3223363,,,,,,,,,
2736939,Random number generation, ,3155183,,,,,,,,,
39068821,Paige Howard, ,3151197,,,,,,,,,
48806120,List of wealthiest families, ,3097118,,,,,,,,,
372857,Clyde Drexler, ,3051622,,,,,,,,,
41414319,Sophia Amoruso, ,2885266,,,,,,,,,
43807,Lombardy, ,2764009,,,,,,,,,
166714,Uriah Heep (band), ,2693659,,,,,,,,,
196660,Dennis Prager, ,2484040,,,,,,,,,
24223895,Wojciech Szczęsny, ,2457712,,,,,,,,,
863116,Extreme points of Earth, ,2430989,,,,,,,,,
47866872,Lil Rel Howery, ,2419484,,,,,,,,,
597584,Tree traversal, ,2390298,,,,,,,,,
41715729,Dear White People, ,2332348,,,,,,,,,
80313,Yokohama, ,2312558,,,,,,,,,
496707,Angus King, ,2261431,,,,,,,,,
2691908,E Street Band, ,2241214,,,,,,,,,
15406859,Austin Chick, ,2167045,,,,,,,,,
2023424,Gewehr 98, ,2165486,,,,,,,,,
5213,Computing, ,2139517,,,,,,,,,
202031,Sikorsky SH-60 Seahawk, ,2128829,,,,,,,,,
13141492,Eric Berry, ,2079970,,,,,,,,,
20729848,Mollie King, ,2026979,,,,,,,,,
45646371,Inuyashiki, ,1997393,,,,,,,,,
3603676,Tire code, ,1928672,,,,,,,,,
29126,Soviet submarine K-19, ,1886082,,,,,,,,,
25869317,Mercosur, ,1770104,,,,,,,,,
9459724,Jan Broberg Felt, ,1762061,,,,,,,,,
232683,Frasier Crane, ,1740747,,,,,,,,,
584845,Dan Haggerty, ,1725750,,,,,,,,,
61492,Jean Valjean, ,1723180,,,,,,,,,
2888063,Influenza pandemic, ,1659864,,,,,,,,,
176595,Knott's Berry Farm, ,1596440,,,,,,,,,
1180662,Pocono Mountains, ,1555831,,,,,,,,,
18626487,Biomedical waste, ,1502315,,,,,,,,,
67728,Petrochemical, ,1486571,,,,,,,,,
1914,Antimicrobial resistance, ,1461174,,,,,,,,,
440559,Homosexuality in Japan, ,1441107,,,,,,,,,
4253041,MIL-STD-810, ,1437184,,,,,,,,,
10080838,Artimus Pyle, ,1393236,,,,,,,,,
342815,Toyota Production System, ,1375725,,,,,,,,,
14786229,Ghatak: Lethal, ,1362484,,,,,,,,,
3125556,Mikael Persbrandt, ,1318704,,,,,,,,,
33993952,Pretty Little Liars (season 3), ,1299558,,,,,,,,,
7289051,Democratic Kampuchea, ,1294807,,,,,,,,,
2272570,Denise Nickerson, ,1257311,,,,,,,,,
166674,Corps, ,1249978,,,,,,,,,
17112,Hash-based message authentication code, ,1244568,,,,,,,,,
77861,Tatooine, ,1237275,,,,,,,,,
540932,Pontiac Bonneville, ,1213082,,,,,,,,,
1381306,Sweat gland, ,1205719,,,,,,,,,
37720592,Kernel (image processing), ,1204279,,,,,,,,,
1036528,Stankonia, ,1194146,,,,,,,,,
247159,Marina Beach, ,1185028,,,,,,,,,
48047234,White Iverson, ,1174538,,,,,,,,,
141496,Depth charge, ,1158576,,,,,,,,,
51522,Fokker, ,1152305,,,,,,,,,
101618,Chamonix, ,1146831,,,,,,,,,
158741,Power-to-weight ratio, ,1124534,,,,,,,,,
1606746,Marcello Lippi, ,1090193,,,,,,,,,
3057722,Parademon, ,1074577,,,,,,,,,
701207,Radix, ,999296,,,,,,,,,
30062202,Jamala, ,996091,,,,,,,,,
2079455,Royal blue, ,950805,,,,,,,,,
9966,Elliptic curve cryptography, ,938631,,,,,,,,,
21408516,Hana Yori Dango (TV series), ,926849,,,,,,,,,
44719300,DeForest Buckner, ,917127,,,,,,,,,
47680391,Warhammer Age of Sigmar, ,905921,,,,,,,,,
44155784,Kalaiyarasan, ,904468,,,,,,,,,
39962337,Laggies, ,893929,,,,,,,,,
36811,Subset sum problem, ,892613,,,,,,,,,
142716,Kazoo, ,884541,,,,,,,,,
500961,Jack (playing card), ,865135,,,,,,,,,
1053933,Symposium, ,851230,,,,,,,,,
46311249,Make It Pop, ,835354,,,,,,,,,
1293289,"It's the economy, stupid", ,832530,,,,,,,,,
625081,Coccus, ,832049,,,,,,,,,
8401840,Captain Corelli's Mandolin (film), ,831646,,,,,,,,,
320721,Order of the Companions of Honour, ,821056,,,,,,,,,
219288,1939 New York World's Fair, ,819999,,,,,,,,,
2224213,English units, ,816396,,,,,,,,,
3188034,Brooke Nevin, ,812531,,,,,,,,,
883437,Shallow Grave, ,806760,,,,,,,,,
1075686,United States labor law, ,783577,,,,,,,,,
1937408,Watchmaker analogy, ,782093,,,,,,,,,
580580,Shoot (professional wrestling), ,762637,,,,,,,,,
203741,List of cruisers of the United States Navy, ,762269,,,,,,,,,
28077405,Artur Szpilka, ,761727,,,,,,,,,
10474591,Calotropis gigantea, ,755820,,,,,,,,,
6236527,Florida Atlantic Owls football, ,749739,,,,,,,,,
33207729,Tajh Boyd, ,749273,,,,,,,,,
1763544,Five Tibetan Rites, ,745259,,,,,,,,,
8979611,Barbara Siggers Franklin, ,740416,,,,,,,,,
689988,Ivan Koloff, ,736692,,,,,,,,,
30480252,Charlie's Angels (2011 TV series), ,732220,,,,,,,,,
430035,Great books, ,730325,,,,,,,,,
599917,Mental image, ,725486,,,,,,,,,
17843112,List of lost films, ,689584,,,,,,,,,
679936,Rillettes, ,689286,,,,,,,,,
1656672,Anno Mundi, ,681306,,,,,,,,,
2196839,Tony Allen (musician), ,680118,,,,,,,,,
18707,Luigi Pirandello, ,677393,,,,,,,,,
432943,Baths of Caracalla, ,677207,,,,,,,,,
505770,Slave and free states, ,668229,,,,,,,,,
227295,Courtier, ,667085,,,,,,,,,
28607,Sergei Diaghilev, ,666988,,,,,,,,,
6132954,Gashadokuro, ,655597,,,,,,,,,
1699990,Globus cruciger, ,655141,,,,,,,,,
516027,Kirby's Dream Land, ,651636,,,,,,,,,
126747,"Massapequa, New York", ,649559,,,,,,,,,
47865363,Jérémie Boga, ,638046,,,,,,,,,
6110187,Tom Meighan, ,636292,,,,,,,,,
42848299,Wyatt Nash, ,626168,,,,,,,,,
847116,Claire Sweeney, ,619985,,,,,,,,,
879119,The House of Mirth, ,614963,,,,,,,,,
36190335,House of Xtravaganza, ,613249,,,,,,,,,
2984941,Pillar (car), ,608710,,,,,,,,,
18483349,Diligence, ,608239,,,,,,,,,
6371,Centaurus, ,608228,,,,,,,,,
2110712,ICO (file format), ,606236,,,,,,,,,
1848012,Intrathecal administration, ,602880,,,,,,,,,
4549814,Jurassic Park: The Ride, ,596066,,,,,,,,,
949631,Luxating patella, ,593637,,,,,,,,,
30865182,Dr. Dre Presents the Aftermath, ,591072,,,,,,,,,
1615727,Hiroshima mon amour, ,585284,,,,,,,,,
1737020,New Belgium Brewing Company, ,585087,,,,,,,,,
433739,Spitball, ,581415,,,,,,,,,
1058899,Binary opposition, ,581335,,,,,,,,,
5984234,Gallic rooster, ,579449,,,,,,,,,
97048,Picardy, ,576904,,,,,,,,,
